                 BMT  |                root  |Barrel Micromegas Vertex Tracker  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  |aaaaff3   |                Tube  |                       75*mm 240.000*mm 330*mm 0*deg 360*deg  |               myAir  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer2_Segment02  |                 BMT  |CuGround Z, Layer 2,  Segment 02  |                     0*mm 0*mm 84.0090866504623*mm  |                     0*deg 0*deg -30*deg  | 666600   |                Tube  |108.05*mm 108.051584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer2_Segment03  |                 BMT  |CuGround Z, Layer 2,  Segment 03  |                     0*mm 0*mm 84.0090866504623*mm  |                      0*deg 0*deg 90*deg  | 666600   |                Tube  |108.05*mm 108.051584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_Z_Layer2_Segment01  |                 BMT  |   PCB Z, Layer 2,  Segment 01  |                     0*mm 0*mm 84.0090866504623*mm  |                    0*deg 0*deg -150*deg  | 0000ff   |                Tube  |108.051584*mm 108.151584*mm 44.7003013497124*mm 1.59154943091895*deg 116.816901138162*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_Z_Layer2_Segment02  |                 BMT  |   PCB Z, Layer 2,  Segment 02  |                     0*mm 0*mm 84.0090866504623*mm  |                     0*deg 0*deg -30*deg  | 0000ff   |                Tube  |108.051584*mm 108.151584*mm 44.7003013497124*mm 1.59154943091895*deg 116.816901138162*deg  |               myFR4  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_Z_Layer2_Segment03  |                 BMT  |   PCB Z, Layer 2,  Segment 03  |                     0*mm 0*mm 84.0090866504623*mm  |                      0*deg 0*deg 90*deg  | 0000ff   |                Tube  |108.051584*mm 108.151584*mm 44.7003013497124*mm 1.59154943091895*deg 116.816901138162*deg  |               myFR4  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuStrips_Z_Layer2_Segment01  |                 BMT  |CuStrips Z, Layer 2,  Segment 01  |                     0*mm 0*mm 84.0090866504623*mm  |                    0*deg 0*deg -150*deg  | 353540   |                Tube  |108.151584*mm 108.163584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |     mybmtz4MMStrips  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuStrips_Z_Layer2_Segment02  |                 BMT  |CuStrips Z, Layer 2,  Segment 02  |                     0*mm 0*mm 84.0090866504623*mm  |                     0*deg 0*deg -30*deg  | 353540   |                Tube  |108.151584*mm 108.163584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |     mybmtz4MMStrips  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuStrips_Z_Layer2_Segment03  |                 BMT  |CuStrips Z, Layer 2,  Segment 03  |                     0*mm 0*mm 84.0090866504623*mm  |                      0*deg 0*deg 90*deg  | 353540   |                Tube  |108.151584*mm 108.163584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |     mybmtz4MMStrips  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_KaptonStrips_Z_Layer2_Segment01  |                 BMT  |KaptonStrips Z, Layer 2,  Segment 01  |                     0*mm 0*mm 84.0090866504623*mm  |                    0*deg 0*deg -150*deg  | fff600   |                Tube  |108.163584*mm 108.238584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_KaptonStrips_Z_Layer2_Segment02  |                 BMT  |KaptonStrips Z, Layer 2,  Segment 02  |                     0*mm 0*mm 84.0090866504623*mm  |                     0*deg 0*deg -30*deg  | fff600   |                Tube  |108.163584*mm 108.238584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
