sector0_superlayer1_layer3_paddle3 | root|   0.0000*mm   0.0000*mm -181.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm  | 0 1 3 3
sector0_superlayer1_layer3_paddle4 | root|   0.0000*mm   0.0000*mm -153.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm  | 0 1 3 4
sector0_superlayer1_layer3_paddle5 | root|   0.0000*mm   0.0000*mm -125.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm  | 0 1 3 5
sector0_superlayer1_layer3_paddle6 | root|   0.0000*mm   0.0000*mm -97.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm  | 0 1 3 6
sector0_superlayer1_layer3_paddle7 | root|   0.0000*mm   0.0000*mm -69.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm  | 0 1 3 7
sector0_superlayer1_layer3_paddle8 | root|   0.0000*mm   0.0000*mm -41.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm  | 0 1 3 8
sector0_superlayer1_layer3_paddle9 | root|   0.0000*mm   0.0000*mm -13.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm  | 0 1 3 9
sector1_superlayer0_layer0_paddle10 | root|   0.0000*mm   0.0000*mm -139.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm     -31.455951*mm      70.391513*mm     -32.677834*mm      73.135911*mm     -39.960646*mm      69.425133*mm     -38.458586*mm      66.823492*mm     -31.455951*mm      70.391513*mm     -32.677834*mm      73.135911*mm     -39.960646*mm      69.425133*mm     -38.458586*mm      66.823492*mm  | 1 0 0 10
sector1_superlayer0_layer1_paddle10 | root|   0.0000*mm   0.0000*mm -139.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm     -38.641549*mm      66.717858*mm     -40.143606*mm      69.319501*mm     -46.998639*mm      64.867790*mm     -45.232862*mm      62.437409*mm     -38.641549*mm      66.717858*mm     -40.143606*mm      69.319501*mm     -46.998639*mm      64.867790*mm     -45.232862*mm      62.437409*mm  | 1 0 1 10
sector1_superlayer0_layer2_paddle10 | root|   0.0000*mm   0.0000*mm -139.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm     -45.403782*mm      62.313229*mm     -47.169556*mm      64.743612*mm     -53.521706*mm      59.599742*mm     -51.511558*mm      57.367249*mm     -45.403782*mm      62.313229*mm     -47.169556*mm      64.743612*mm     -53.521706*mm      59.599742*mm     -51.511558*mm      57.367249*mm  | 1 0 2 10
sector1_superlayer0_layer3_paddle10 | root|   0.0000*mm   0.0000*mm -139.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm     -51.668561*mm      57.225883*mm     -53.678707*mm      59.458378*mm     -59.458378*mm      53.678707*mm     -57.225883*mm      51.668561*mm     -51.668561*mm      57.225883*mm     -53.678707*mm      59.458378*mm     -59.458378*mm      53.678707*mm     -57.225883*mm      51.668561*mm  | 1 0 3 10
sector1_superlayer1_layer0_paddle0 | root|   0.0000*mm   0.0000*mm -265.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm  | 1 1 0 0
sector1_superlayer1_layer0_paddle1 | root|   0.0000*mm   0.0000*mm -237.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm  | 1 1 0 1
sector1_superlayer1_layer0_paddle2 | root|   0.0000*mm   0.0000*mm -209.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm  | 1 1 0 2
sector1_superlayer1_layer0_paddle3 | root|   0.0000*mm   0.0000*mm -181.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm  | 1 1 0 3
sector1_superlayer1_layer0_paddle4 | root|   0.0000*mm   0.0000*mm -153.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm  | 1 1 0 4
sector1_superlayer1_layer0_paddle5 | root|   0.0000*mm   0.0000*mm -125.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm  | 1 1 0 5
sector1_superlayer1_layer0_paddle6 | root|   0.0000*mm   0.0000*mm -97.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm  | 1 1 0 6
sector1_superlayer1_layer0_paddle7 | root|   0.0000*mm   0.0000*mm -69.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm  | 1 1 0 7
sector1_superlayer1_layer0_paddle8 | root|   0.0000*mm   0.0000*mm -41.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm  | 1 1 0 8
sector1_superlayer1_layer0_paddle9 | root|   0.0000*mm   0.0000*mm -13.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm     -32.677834*mm      73.135911*mm     -40.823731*mm      91.431894*mm     -49.974368*mm      86.769411*mm     -39.960646*mm      69.425133*mm  | 1 1 0 9
sector1_superlayer1_layer1_paddle0 | root|   0.0000*mm   0.0000*mm -265.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -40.143606*mm      69.319501*mm     -50.157330*mm      86.663778*mm     -58.770477*mm      81.070335*mm     -46.998639*mm      64.867790*mm     -40.143606*mm      69.319501*mm     -50.157330*mm      86.663778*mm     -58.770477*mm      81.070335*mm     -46.998639*mm      64.867790*mm  | 1 1 1 0
