       regionGas3_s4  |          region3_s4  |CLAS12 Drift Chambers Gas, Sector 4 Region 3  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |21.377781*cm -0.4363323*rad 1.5707963*rad 195.82108*cm 10.1229354*cm 210.7379378*cm 0*rad 205.4410256*cm 16.4993935*cm 226.9799247*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas3_s5  |          region3_s5  |CLAS12 Drift Chambers Gas, Sector 5 Region 3  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |21.377781*cm -0.4363323*rad 1.5707963*rad 195.82108*cm 10.1229354*cm 210.7379378*cm 0*rad 205.4410256*cm 16.4993935*cm 226.9799247*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas3_s6  |          region3_s6  |CLAS12 Drift Chambers Gas, Sector 6 Region 3  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |21.377781*cm -0.4363323*rad 1.5707963*rad 195.82108*cm 10.1229354*cm 210.7379378*cm 0*rad 205.4410256*cm 16.4993935*cm 226.9799247*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
              sl1_s1  |       regionGas1_s1  |Region 1, Super Layer 1, Sector 1  |          -2.4238153*cm -5.8839132*cm -5.501226*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.047764*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 1 wire manual 1 
              sl1_s2  |       regionGas1_s2  |Region 1, Super Layer 1, Sector 2  |          -2.4238153*cm -5.8839132*cm -5.501226*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.047764*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 1 wire manual 1 
              sl1_s3  |       regionGas1_s3  |Region 1, Super Layer 1, Sector 3  |          -2.4238153*cm -5.8839132*cm -5.501226*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.047764*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 1 wire manual 1 
              sl1_s4  |       regionGas1_s4  |Region 1, Super Layer 1, Sector 4  |          -2.4238153*cm -5.8839132*cm -5.501226*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.047764*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 1 wire manual 1 
              sl1_s5  |       regionGas1_s5  |Region 1, Super Layer 1, Sector 5  |          -2.4238153*cm -5.8839132*cm -5.501226*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.047764*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 1 wire manual 1 
              sl1_s6  |       regionGas1_s6  |Region 1, Super Layer 1, Sector 6  |          -2.4238153*cm -5.8839132*cm -5.501226*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.047764*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 1 wire manual 1 
              sl2_s1  |       regionGas1_s1  |Region 1, Super Layer 2, Sector 1  |            2.522763*cm -7.2505856*cm 5.2974405*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.2370705*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 2 layer manual 1 wire manual 1 
              sl2_s2  |       regionGas1_s2  |Region 1, Super Layer 2, Sector 2  |            2.522763*cm -7.2505856*cm 5.2974405*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.2370705*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 2 layer manual 1 wire manual 1 
              sl2_s3  |       regionGas1_s3  |Region 1, Super Layer 2, Sector 3  |            2.522763*cm -7.2505856*cm 5.2974405*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.2370705*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 2 layer manual 1 wire manual 1 
              sl2_s4  |       regionGas1_s4  |Region 1, Super Layer 2, Sector 4  |            2.522763*cm -7.2505856*cm 5.2974405*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.2370705*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 2 layer manual 1 wire manual 1 
              sl2_s5  |       regionGas1_s5  |Region 1, Super Layer 2, Sector 5  |            2.522763*cm -7.2505856*cm 5.2974405*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.2370705*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 2 layer manual 1 wire manual 1 
              sl2_s6  |       regionGas1_s6  |Region 1, Super Layer 2, Sector 6  |            2.522763*cm -7.2505856*cm 5.2974405*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.2370705*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 2 layer manual 1 wire manual 1 
              sl3_s1  |       regionGas2_s1  |Region 2, Super Layer 3, Sector 1  |       -3.8245233*cm -11.2986908*cm -10.5069067*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |6.5188748*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 3 layer manual 1 wire manual 1 
              sl3_s2  |       regionGas2_s2  |Region 2, Super Layer 3, Sector 2  |       -3.8245233*cm -11.2986908*cm -10.5069067*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |6.5188748*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 3 layer manual 1 wire manual 1 
