       mucal_102_127  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                 -30.225*cm 8.525*cm 62.9714091*cm  |      7.7097674*deg 25.6400619*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_128  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                -30.225*cm 10.075*cm 62.7788186*cm  |      9.1173175*deg 25.7085916*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_129  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                -30.225*cm 11.625*cm 62.5575546*cm  |     10.5271308*deg 25.7877466*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_130  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                -30.225*cm 13.175*cm 62.3089829*cm  |     11.9391194*deg 25.8772139*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_111  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |               -28.675*cm -16.275*cm 62.3089829*cm  |    -14.6385072*deg 24.7121955*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_112  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |               -28.675*cm -14.725*cm 62.6204061*cm  |    -13.2325321*deg 24.6038876*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_113  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |               -28.675*cm -13.175*cm 62.9069033*cm  |     -11.8288517*deg 24.505032*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_114  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |               -28.675*cm -11.625*cm 63.1668358*cm  |    -10.4278284*deg 24.4159854*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_115  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                -28.675*cm -10.075*cm 63.398591*cm  |     -9.0296639*deg 24.3371025*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_116  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                -28.675*cm -8.525*cm 63.6006192*cm  |     -7.6343976*deg 24.2687273*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_117  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                -28.675*cm -6.975*cm 63.7714756*cm  |     -6.2419098*deg 24.2111832*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_118  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                -28.675*cm -5.425*cm 63.9098648*cm  |      -4.851931*deg 24.1647616*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_119  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                -28.675*cm -3.875*cm 64.0146844*cm  |     -3.4640577*deg 24.1297119*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_120  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                -28.675*cm -2.325*cm 64.0850662*cm  |      -2.077774*deg 24.1062312*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_121  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                -28.675*cm -0.775*cm 64.1204103*cm  |     -0.6924795*deg 24.0944559*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_122  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                 -28.675*cm 0.775*cm 64.1204103*cm  |      0.6924795*deg 24.0944559*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_123  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                 -28.675*cm 2.325*cm 64.0850662*cm  |       2.077774*deg 24.1062312*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_124  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                 -28.675*cm 3.875*cm 64.0146844*cm  |      3.4640577*deg 24.1297119*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_125  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                 -28.675*cm 5.425*cm 63.9098648*cm  |       4.851931*deg 24.1647616*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_126  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                 -28.675*cm 6.975*cm 63.7714756*cm  |      6.2419098*deg 24.2111832*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_127  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                 -28.675*cm 8.525*cm 63.6006192*cm  |      7.6343976*deg 24.2687273*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_128  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                 -28.675*cm 10.075*cm 63.398591*cm  |      9.0296639*deg 24.3371025*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_129  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                -28.675*cm 11.625*cm 63.1668358*cm  |     10.4278284*deg 24.4159854*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_130  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                -28.675*cm 13.175*cm 62.9069033*cm  |      11.8288517*deg 24.505032*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_131  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                -28.675*cm 14.725*cm 62.6204061*cm  |     13.2325321*deg 24.6038876*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_103_132  |         mucalVolume  |paddle 103 - Panel 1B - Sector 1  |                -28.675*cm 16.275*cm 62.3089829*cm  |     14.6385072*deg 24.7121955*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_104_109  |         mucalVolume  |paddle 104 - Panel 1B - Sector 1  |               -27.125*cm -19.375*cm 62.1558527*cm  |    -17.3131141*deg 23.5766003*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_104_110  |         mucalVolume  |paddle 104 - Panel 1B - Sector 1  |               -27.125*cm -17.825*cm 62.5262368*cm  |    -15.9118085*deg 23.4520625*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_104_111  |         mucalVolume  |paddle 104 - Panel 1B - Sector 1  |               -27.125*cm -16.275*cm 62.8747671*cm  |    -14.5123669*deg 23.3360015*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_104_112  |         mucalVolume  |paddle 104 - Panel 1B - Sector 1  |               -27.125*cm -14.725*cm 63.1996916*cm  |    -13.1154543*deg 23.2287741*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_104_113  |         mucalVolume  |paddle 104 - Panel 1B - Sector 1  |               -27.125*cm -13.175*cm 63.4992048*cm  |     -11.7215824*deg 23.130754*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_104_114  |         mucalVolume  |paddle 104 - Panel 1B - Sector 1  |               -27.125*cm -11.625*cm 63.7714756*cm  |    -10.3310974*deg 23.0423254*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
