superlayer1_layer1_ahdccell20_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -28.031013*mm      19.242201*mm     -26.683179*mm      21.071496*mm     -23.543982*mm      18.592497*mm     -24.733247*mm      16.978413*mm     -32.921757*mm       8.494583*mm     -32.280863*mm      10.674545*mm     -28.483114*mm       9.418716*mm     -29.048609*mm       7.495221*mm  |  1 1 20
superlayer1_layer1_ahdccell20_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -24.733247*mm      16.978413*mm     -25.812047*mm      15.288499*mm     -29.253654*mm      17.326966*mm     -28.031013*mm      19.242201*mm     -29.048609*mm       7.495221*mm     -29.484365*mm       5.538250*mm     -33.415614*mm       6.276683*mm     -32.921757*mm       8.494583*mm  |  1 1 20
superlayer1_layer1_ahdccell21_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -30.345640*mm      15.334344*mm     -29.253654*mm      17.326966*mm     -25.812047*mm      15.288499*mm     -26.775565*mm      13.530304*mm     -33.760229*mm       4.030750*mm     -33.415614*mm       6.276683*mm     -29.484365*mm       5.538250*mm     -29.788437*mm       3.556544*mm  |  1 1 21
superlayer1_layer1_ahdccell21_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -26.775565*mm      13.530304*mm     -27.619497*mm      11.711678*mm     -31.302096*mm      13.273235*mm     -30.345640*mm      15.334344*mm     -29.788437*mm       3.556544*mm     -29.959467*mm       1.558953*mm     -33.954063*mm       1.766814*mm     -33.760229*mm       4.030750*mm  |  1 1 21
superlayer1_layer1_ahdccell22_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -32.118749*mm      11.152845*mm     -31.302096*mm      13.273235*mm     -27.619497*mm      11.711678*mm     -28.340073*mm       9.840746*mm     -33.996249*mm      -0.505013*mm     -33.954063*mm       1.766814*mm     -29.959467*mm       1.558953*mm     -29.996691*mm      -0.445600*mm  |  1 1 22
superlayer1_layer1_ahdccell22_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -28.340073*mm       9.840746*mm     -28.934075*mm       7.925862*mm     -32.791952*mm       8.982644*mm     -32.118749*mm      11.152845*mm     -29.996691*mm      -0.445600*mm     -29.899941*mm      -2.448162*mm     -33.886600*mm      -2.774584*mm     -33.996249*mm      -0.505013*mm  |  1 1 22
superlayer1_layer1_ahdccell23_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -33.318698*mm       6.772323*mm     -32.791952*mm       8.982644*mm     -28.934075*mm       7.925862*mm     -29.398851*mm       5.975580*mm     -33.625606*mm      -5.031763*mm     -33.886600*mm      -2.774584*mm     -29.899941*mm      -2.448162*mm     -29.669652*mm      -4.439791*mm  |  1 1 23
superlayer1_layer1_ahdccell23_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -29.398851*mm       5.975580*mm     -29.732325*mm       3.998609*mm     -33.696635*mm       4.531756*mm     -33.318698*mm       6.772323*mm     -29.669652*mm      -4.439791*mm     -29.306851*mm      -6.411591*mm     -33.214431*mm      -7.266470*mm     -33.625606*mm      -5.031763*mm  |  1 1 23
superlayer1_layer1_ahdccell24_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -33.924074*mm       2.270950*mm     -33.696635*mm       4.531756*mm     -29.732325*mm       3.998609*mm     -29.933006*mm       2.003779*mm     -32.654912*mm      -9.468722*mm     -33.214431*mm      -7.266470*mm     -29.306851*mm      -6.411591*mm     -28.813158*mm      -8.354755*mm  |  1 1 24
superlayer1_layer1_ahdccell24_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -29.933006*mm       2.003779*mm     -30.000000*mm       0.000000*mm     -34.000000*mm       0.000000*mm     -33.924074*mm       2.270950*mm     -28.813158*mm      -8.354755*mm     -28.190779*mm     -10.260604*mm     -31.949549*mm     -11.628685*mm     -32.654912*mm      -9.468722*mm  |  1 1 24
