              target  |                root  |              Target Container  |                                             0 0 0  |                                   0 0 0  | 22ff22   |            Polycone  |0.0*deg 360*deg 4*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 56*mm 56*mm 26*mm 26*mm -116*mm 260*mm 290*mm 391*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      ddvcs_ecal2_28  |          ddvcs_ecal  |        ft crystal (h:2, v:28)  |-308.066457124327*mm 94.9335428756732*mm 626.19774685566*mm  |8.62066579320712*deg 26.195776198112*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 28 
      ddvcs_ecal2_29  |          ddvcs_ecal  |        ft crystal (h:2, v:29)  |-308.066457124327*mm 110.433542875673*mm 624.126917297907*mm  |10.0342118712068*deg 26.2710283838871*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 29 
      ddvcs_ecal2_30  |          ddvcs_ecal  |        ft crystal (h:2, v:30)  |-308.066457124327*mm 125.933542875673*mm 621.7812325333*mm  |11.449737299924*deg 26.3567550474129*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 30 
      ddvcs_ecal3_12  |          ddvcs_ecal  |        ft crystal (h:3, v:12)  |-292.566457124327*mm -153.066457124327*mm 622.890179850753*mm  |-13.8062119095813*deg 25.1593243226536*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 12 
      ddvcs_ecal3_13  |          ddvcs_ecal  |        ft crystal (h:3, v:13)  |-292.566457124327*mm -137.566457124327*mm 625.803484300113*mm  |-12.3979138418136*deg 25.0565993338362*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 13 
      ddvcs_ecal3_14  |          ddvcs_ecal  |        ft crystal (h:3, v:14)  |-292.566457124327*mm -122.066457124327*mm 628.459609675842*mm  |-10.9918811247478*deg 24.9636242651334*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 14 
      ddvcs_ecal3_15  |          ddvcs_ecal  |        ft crystal (h:3, v:15)  |-292.566457124327*mm -106.566457124327*mm 630.842981634062*mm  |-9.5883868055039*deg 24.8807447711462*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 15 
      ddvcs_ecal3_16  |          ddvcs_ecal  |        ft crystal (h:3, v:16)  |-292.566457124327*mm -91.0664571243268*mm 632.938538997412*mm  |-8.18754688515722*deg 24.8082983794202*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 16 
      ddvcs_ecal3_17  |          ddvcs_ecal  |        ft crystal (h:3, v:17)  |-292.566457124327*mm -75.5664571243268*mm 634.732111911121*mm  |-6.78932199327297*deg 24.7466052060641*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 17 
      ddvcs_ecal3_18  |          ddvcs_ecal  |        ft crystal (h:3, v:18)  |-292.566457124327*mm -60.0664571243268*mm 636.210826390636*mm  |-5.39352459595816*deg 24.6959580055851*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 18 
      ddvcs_ecal3_19  |          ddvcs_ecal  |        ft crystal (h:3, v:19)  |-292.566457124327*mm -44.5664571243268*mm 637.363514045952*mm  |-3.99983211258098*deg 24.6566120792427*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 19 
      ddvcs_ecal3_20  |          ddvcs_ecal  |        ft crystal (h:3, v:20)  |-292.566457124327*mm -29.0664571243268*mm 638.1811008369*mm  |-2.60780596172065*deg 24.6287756894705*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 20 
