              target  |                root  |              Target Container  |                                             0 0 0  |                                   0 0 0  | 22ff22   |            Polycone  |0.0*deg 360*deg 4*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 56*mm 56*mm 26*mm 26*mm -116*mm 260*mm 290*mm 391*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     ddvcs_ecal14_26  |          ddvcs_ecal  |       ft crystal (h:14, v:26)  |            -131.75*mm 54.25*mm 702.21761315354*mm  |4.41767117492791*deg 10.62640216304*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 26 
     ddvcs_ecal14_27  |          ddvcs_ecal  |       ft crystal (h:14, v:27)  |           -131.75*mm 69.75*mm 699.431651889236*mm  |5.6949849391294*deg 10.6677594623609*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 27 
     ddvcs_ecal14_28  |          ddvcs_ecal  |       ft crystal (h:14, v:28)  |           -131.75*mm 85.25*mm 696.113575827935*mm  |6.98207088601319*deg 10.7174329944183*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 28 
     ddvcs_ecal14_29  |          ddvcs_ecal  |       ft crystal (h:14, v:29)  |          -131.75*mm 100.75*mm 692.338911674115*mm  |8.27971962216827*deg 10.7745006978443*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 29 
     ddvcs_ecal15_15  |          ddvcs_ecal  |       ft crystal (h:15, v:15)  |         -116.25*mm -116.25*mm 692.953779852183*mm  |-9.52336662965895*deg 9.52336662965895*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 15 
     ddvcs_ecal15_16  |          ddvcs_ecal  |       ft crystal (h:15, v:16)  |         -116.25*mm -100.75*mm 697.420481373668*mm  |-8.22021902296409*deg 9.46347993452955*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 16 
     ddvcs_ecal15_17  |          ddvcs_ecal  |       ft crystal (h:15, v:17)  |          -116.25*mm -85.25*mm 701.509178000864*mm  |-6.92889287202127*deg 9.40931186668024*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 17 
     ddvcs_ecal15_18  |          ddvcs_ecal  |       ft crystal (h:15, v:18)  |          -116.25*mm -69.75*mm 705.138884812947*mm  |-5.64919038069052*deg 9.36173696887058*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 18 
     ddvcs_ecal15_19  |          ddvcs_ecal  |       ft crystal (h:15, v:19)  |          -116.25*mm -54.25*mm 708.217335204703*mm  |-4.38039278135434*deg 9.32175955294697*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 19 
     ddvcs_ecal15_20  |          ddvcs_ecal  |       ft crystal (h:15, v:20)  |           -116.25*mm -38.75*mm 710.64612712721*mm  |-3.12115679232795*deg 9.29045677692704*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 20 
     ddvcs_ecal15_21  |          ddvcs_ecal  |       ft crystal (h:15, v:21)  |          -116.25*mm -23.25*mm 712.330690649271*mm  |-1.86945190587099*deg 9.26886788073341*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 21 
     ddvcs_ecal15_22  |          ddvcs_ecal  |       ft crystal (h:15, v:22)  |           -116.25*mm -7.75*mm 713.194580223215*mm  |-0.622592265918512*deg 9.25783504869153*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 22 
     ddvcs_ecal15_23  |          ddvcs_ecal  |       ft crystal (h:15, v:23)  |            -116.25*mm 7.75*mm 713.194580223215*mm  |0.622592265918512*deg 9.25783504869153*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 23 
     ddvcs_ecal15_24  |          ddvcs_ecal  |       ft crystal (h:15, v:24)  |           -116.25*mm 23.25*mm 712.330690649271*mm  |1.86945190587099*deg 9.26886788073341*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 24 
     ddvcs_ecal15_25  |          ddvcs_ecal  |       ft crystal (h:15, v:25)  |            -116.25*mm 38.75*mm 710.64612712721*mm  |3.12115679232795*deg 9.29045677692704*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 25 
     ddvcs_ecal15_26  |          ddvcs_ecal  |       ft crystal (h:15, v:26)  |           -116.25*mm 54.25*mm 708.217335204703*mm  |4.38039278135434*deg 9.32175955294697*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 26 
     ddvcs_ecal15_27  |          ddvcs_ecal  |       ft crystal (h:15, v:27)  |           -116.25*mm 69.75*mm 705.138884812947*mm  |5.64919038069052*deg 9.36173696887058*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 27 
     ddvcs_ecal15_28  |          ddvcs_ecal  |       ft crystal (h:15, v:28)  |           -116.25*mm 85.25*mm 701.509178000864*mm  |6.92889287202127*deg 9.40931186668024*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 28 
     ddvcs_ecal15_29  |          ddvcs_ecal  |       ft crystal (h:15, v:29)  |          -116.25*mm 100.75*mm 697.420481373668*mm  |8.22021902296409*deg 9.46347993452955*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 29 
     ddvcs_ecal15_30  |          ddvcs_ecal  |       ft crystal (h:15, v:30)  |          -116.25*mm 116.25*mm 692.953779852183*mm  |9.52336662965895*deg 9.52336662965895*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 15 iv manual 30 
     ddvcs_ecal16_14  |          ddvcs_ecal  |       ft crystal (h:16, v:14)  |         -100.75*mm -131.75*mm 692.338911674115*mm  |-10.7745006978443*deg 8.27971962216827*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 16 iv manual 14 
     ddvcs_ecal16_15  |          ddvcs_ecal  |       ft crystal (h:16, v:15)  |         -100.75*mm -116.25*mm 697.420481373668*mm  |-9.46347993452955*deg 8.22021902296409*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 16 iv manual 15 
     ddvcs_ecal16_16  |          ddvcs_ecal  |       ft crystal (h:16, v:16)  |          -100.75*mm -100.75*mm 702.21761315354*mm  |-8.16482308050395*deg 8.16482308050395*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 16 iv manual 16 
     ddvcs_ecal16_17  |          ddvcs_ecal  |       ft crystal (h:16, v:17)  |          -100.75*mm -85.25*mm 706.656867182133*mm  |-6.87890426058272*deg 8.11421641540881*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 16 iv manual 17 
